track_id,start,end,closest,min_axis_km,min_penumbra_edge_km,moon_distance_at_closest_km,actual_eclipse_count,actual_eclipse_types
100,2008-01-30T06:00:00Z,2008-02-14T00:00:00Z,2008-02-07T04:00:00Z,6109.5,2555.6,383304.4,1,Annular
101,2008-02-29T06:00:00Z,2008-03-14T06:00:00Z,2008-03-07T17:00:00Z,11553.2,8063.9,372236.3,0,
102,2008-03-30T00:00:00Z,2008-04-12T18:00:00Z,2008-04-06T03:30:00Z,24871.5,21441.3,363361.7,0,
103,2008-04-28T18:00:00Z,2008-05-12T00:00:00Z,2008-05-05T12:15:00Z,30974.0,27583.6,358150.0,0,
104,2008-05-28T06:00:00Z,2008-06-10T12:00:00Z,2008-06-03T19:45:00Z,29043.2,25665.3,357323.9,0,
105,2008-06-26T18:00:00Z,2008-07-10T00:00:00Z,2008-07-03T02:45:00Z,19825.5,16432.2,360827.7,0,
106,2008-07-26T00:00:00Z,2008-08-08T18:00:00Z,2008-08-01T10:15:00Z,5311.0,1879.2,368018.5,1,Total
107,2008-08-24T00:00:00Z,2008-09-07T12:00:00Z,2008-08-30T19:45:00Z,11426.8,7940.7,377877.1,0,
108,2008-09-22T06:00:00Z,2008-10-07T06:00:00Z,2008-09-29T07:45:00Z,26181.5,22634.1,388773.2,0,
109,2008-10-21T12:00:00Z,2008-11-06T00:00:00Z,2008-10-28T23:00:00Z,34373.7,30767.2,398645.7,0,
110,2008-11-20T00:00:00Z,2008-12-05T18:00:00Z,2008-11-27T17:15:00Z,32494.9,28844.0,405136.1,0,
111,2008-12-19T12:00:00Z,2009-01-04T06:00:00Z,2008-12-27T13:00:00Z,20303.9,16637.0,406395.1,0,
112,2009-01-18T06:00:00Z,2009-02-02T18:00:00Z,2009-01-26T08:00:00Z,1798.7,-1847.6,402066.9,1,Annular
113,2009-02-17T00:00:00Z,2009-03-04T06:00:00Z,2009-02-25T01:15:00Z,16520.8,12927.5,393351.1,0,
114,2009-03-18T18:00:00Z,2009-04-02T12:00:00Z,2009-03-26T15:45:00Z,28905.3,25381.4,382457.4,0,
115,2009-04-17T18:00:00Z,2009-05-01T18:00:00Z,2009-04-25T03:30:00Z,32520.1,29062.2,371767.5,0,
116,2009-05-17T12:00:00Z,2009-05-31T00:00:00Z,2009-05-24T12:30:00Z,27477.3,24068.1,363329.8,0,
117,2009-06-16T00:00:00Z,2009-06-29T06:00:00Z,2009-06-22T20:00:00Z,15801.9,12418.4,358369.7,0,
118,2009-07-15T12:00:00Z,2009-07-28T18:00:00Z,2009-07-22T02:30:00Z,552.9,-2828.9,357530.4,1,Total
119,2009-08-14T00:00:00Z,2009-08-27T06:00:00Z,2009-08-20T09:45:00Z,15204.2,11801.4,360906.3,0,
120,2009-09-12T06:00:00Z,2009-09-26T00:00:00Z,2009-09-18T18:15:00Z,27530.4,24085.5,368106.5,0,
121,2009-10-11T12:00:00Z,2009-10-26T00:00:00Z,2009-10-18T05:30:00Z,33066.7,29561.9,378215.6,0,
122,2009-11-09T18:00:00Z,2009-11-24T18:00:00Z,2009-11-16T19:45:00Z,29335.0,25762.0,389431.9,0,
123,2009-12-09T06:00:00Z,2009-12-24T12:00:00Z,2009-12-16T12:30:00Z,16287.5,12655.1,399281.0,0,
124,2010-01-07T12:00:00Z,2010-01-23T06:00:00Z,2010-01-15T07:00:00Z,2575.9,-1088.1,405387.1,1,Annular
125,2010-02-06T00:00:00Z,2010-02-22T00:00:00Z,2010-02-14T02:15:00Z,20865.8,17207.9,406211.9,0,
126,2010-03-07T18:00:00Z,2010-03-23T06:00:00Z,2010-03-15T20:45:00Z,32400.3,28781.6,401575.5,0,
127,2010-04-06T12:00:00Z,2010-04-21T18:00:00Z,2010-04-14T12:45:00Z,33935.3,30374.1,392816.4,0,
128,2010-05-06T06:00:00Z,2010-05-20T18:00:00Z,2010-05-14T01:30:00Z,26076.1,22575.4,382152.2,0,
129,2010-06-05T00:00:00Z,2010-06-19T00:00:00Z,2010-06-12T11:30:00Z,11981.0,8533.6,371745.9,0,
130,2010-07-04T18:00:00Z,2010-07-18T06:00:00Z,2010-07-11T19:30:00Z,4335.0,927.4,363360.4,1,Total
131,2010-08-03T06:00:00Z,2010-08-16T18:00:00Z,2010-08-10T02:45:00Z,19000.4,15613.9,358241.0,0,
132,2010-09-01T18:00:00Z,2010-09-15T00:00:00Z,2010-09-08T10:15:00Z,28783.6,25394.5,357256.4,0,
133,2010-10-01T06:00:00Z,2010-10-14T18:00:00Z,2010-10-07T18:45:00Z,31264.6,27846.5,360765.6,0,
134,2010-10-30T18:00:00Z,2010-11-13T12:00:00Z,2010-11-06T05:15:00Z,25249.0,21778.7,368448.2,0,
135,2010-11-29T00:00:00Z,2010-12-13T12:00:00Z,2010-12-05T18:00:00Z,11474.1,7939.7,379053.8,0,
136,2010-12-28T06:00:00Z,2011-01-12T06:00:00Z,2011-01-04T08:45:00Z,6784.1,3190.9,390435.2,1,Partial
137,2011-01-26T18:00:00Z,2011-02-11T06:00:00Z,2011-02-03T02:00:00Z,23945.3,20313.2,400174.2,0,
138,2011-02-25T00:00:00Z,2011-03-12T18:00:00Z,2011-03-04T20:30:00Z,34163.8,30519.9,405855.0,0,
139,2011-03-26T18:00:00Z,2011-04-11T12:00:00Z,2011-04-03T14:45:00Z,33969.9,30340.3,406136.7,0,
140,2011-04-25T06:00:00Z,2011-05-10T18:00:00Z,2011-05-03T07:30:00Z,23896.8,20302.2,401179.3,0,
141,2011-05-25T00:00:00Z,2011-06-09T00:00:00Z,2011-06-01T21:15:00Z,7737.6,4191.6,392483.9,1,Partial
142,2011-06-23T12:00:00Z,2011-07-08T06:00:00Z,2011-07-01T08:45:00Z,9521.7,6029.1,381933.6,1,Partial
143,2011-07-23T06:00:00Z,2011-08-06T06:00:00Z,2011-07-30T18:15:00Z,23390.6,19946.4,371530.8,0,
144,2011-08-22T00:00:00Z,2011-09-04T12:00:00Z,2011-08-29T03:00:00Z,30766.8,27356.0,362991.1,0,
145,2011-09-20T18:00:00Z,2011-10-04T00:00:00Z,2011-09-27T11:15:00Z,30102.4,26702.5,357876.9,0,
146,2011-10-20T06:00:00Z,2011-11-02T12:00:00Z,2011-10-26T20:15:00Z,21490.6,18077.2,357157.3,0,
147,2011-11-18T18:00:00Z,2011-12-02T06:00:00Z,2011-11-25T06:15:00Z,6731.1,3284.2,361164.9,1,Partial
148,2011-12-18T06:00:00Z,2012-01-01T06:00:00Z,2011-12-24T17:45:00Z,10658.4,7166.7,369341.0,0,
149,2012-01-16T12:00:00Z,2012-01-31T00:00:00Z,2012-01-23T07:15:00Z,25815.8,22276.8,380249.2,0,
150,2012-02-14T18:00:00Z,2012-03-01T00:00:00Z,2012-02-21T22:30:00Z,33913.3,30332.1,391598.4,0,
151,2012-03-15T06:00:00Z,2012-03-30T18:00:00Z,2012-03-22T15:00:00Z,31989.7,28378.2,400832.7,0,
152,2012-04-13T12:00:00Z,2012-04-29T06:00:00Z,2012-04-21T07:45:00Z,20468.8,16846.0,405892.8,0,
153,2012-05-13T00:00:00Z,2012-05-28T18:00:00Z,2012-05-21T00:00:00Z,3103.0,-508.8,405850.0,1,Annular
154,2012-06-11T12:00:00Z,2012-06-27T00:00:00Z,2012-06-19T14:45:00Z,14757.5,11176.9,400965.1,0,
155,2012-07-11T06:00:00Z,2012-07-26T06:00:00Z,2012-07-19T04:00:00Z,27958.3,24420.8,392382.2,0,
156,2012-08-10T00:00:00Z,2012-08-24T12:00:00Z,2012-08-17T15:45:00Z,33247.2,29753.6,381816.6,0,
157,2012-09-08T18:00:00Z,2012-09-22T18:00:00Z,2012-09-16T02:30:00Z,29637.4,26179.8,371228.4,0,
